code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids
FT250100199,ARC Future Fellowships,2025,Active,1107368,1112998.0,The University of Sydney,4903,Numerical and Computational Mathematics,4903; 490302; 490399,Numerical and Computational Mathematics; Numerical Analysis; Numerical and Computational Mathematics Not Elsewhere Classified,Dr Tiangang Cui,0000-0002-4840-8545
FT250100204,ARC Future Fellowships,2025,Active,961544,966492.0,The University of Adelaide,4016,Materials Engineering,400408; 4016; 401605; 401807,Reaction Engineering (Excl. Nuclear Reactions); Materials Engineering; Functional Materials; Nanomaterials,Dr Wenjie Tian,0000-0002-9896-1154
FT250100206,ARC Future Fellowships,2025,Active,1130885,1136686.0,Monash University,5202,Biological Psychology,5202; 520203,Biological Psychology; Cognitive Neuroscience,A/Prof Sharna Jamadar,0000-0001-7222-7181
FT250100208,ARC Future Fellowships,2025,Active,1274832,1281272.0,The University of New South Wales,4904,Pure Mathematics,4904; 490401,Pure Mathematics; Algebra and Number Theory,A/Prof Alina Ostafe,0000-0001-7398-0589
FT250100217,ARC Future Fellowships,2025,Active,1273311,1279900.0,University of Wollongong,4803,International and Comparative Law,410404; 4803; 480309,Environmental Management; International and Comparative Law; Ocean Law and Governance,A/Prof Michelle Voyer,0000-0001-6170-9994
FT250100226,ARC Future Fellowships,2025,Active,1263040,1269599.0,RMIT University,4016,Materials Engineering,4016; 401605; 401807,Materials Engineering; Functional Materials; Nanomaterials,Prof Dawei Su,0000-0002-3972-8205
FT250100237,ARC Future Fellowships,2025,Active,976696,981702.0,La Trobe University,3108,Plant Biology,300103; 3108; 310803,Agricultural Molecular Engineering of Nucleic Acids and Proteins; Plant Biology; Plant Cell and Molecular Biology,Dr Dugald Reid,0000-0001-9291-9775
FT250100239,ARC Future Fellowships,2025,Active,1130976,1136776.0,The University of Queensland,4016,Materials Engineering,4016; 401605; 401609,Materials Engineering; Functional Materials; Polymers and Plastics,Dr Ruirui Qiao,0000-0002-8351-7093
FT250100252,ARC Future Fellowships,2025,Active,1280036,1286559.0,The University of Sydney,3102,Bioinformatics and Computational Biology,3102; 310201; 310204,Bioinformatics and Computational Biology; Bioinformatic Methods Development; Genomics and Transcriptomics,A/Prof Pengyi Yang,
FT250100270,ARC Future Fellowships,2025,Active,1124643,1130430.0,The University of Melbourne,4701,Communication and Media Studies,460806; 4701; 470102,Human-Computer Interaction; Communication and Media Studies; Communication Technology and Digital Media Studies,Dr Bjørn Nansen,0000-0001-6215-8768
FT250100305,ARC Future Fellowships,2025,Active,1067196,1072427.0,Monash University,5003,Philosophy,5003; 500306; 500321,Philosophy; Ethical Theory; Social and Political Philosophy,Dr Suzy Killmister,0000-0003-1082-783X
FT250100311,ARC Future Fellowships,2025,Active,1286884,1293479.0,Griffith University,3707,Hydrology,3707; 370701; 370703,Hydrology; Contaminant Hydrology; Groundwater Hydrology,Prof Matthew Currell,0000-0003-0210-800X
FT250100313,ARC Future Fellowships,2025,Active,1131704,1137505.0,The University of Queensland,3101,Biochemistry and Cell Biology,3101; 310102; 310204; 310503,"Biochemistry and Cell Biology; Cell Development, Proliferation and Death; Genomics and Transcriptomics; Developmental Genetics (Incl. Sex Determination)",Dr Katarzyna Koltowska,0000-0002-6841-8900
FT250100327,ARC Future Fellowships,2025,Active,1117348,1123085.0,The Australian National University,3706,Geophysics,370508; 370511; 3706; 370604,Resource Geoscience; Structural Geology and Tectonics; Geophysics; Geodynamics,Dr Grace Shephard,0000-0002-3459-4500
FT250100334,ARC Future Fellowships,2025,Active,976696,981702.0,Monash University,3109,Zoology,3109; 310910; 320404; 320902,Zoology; Animal Physiology - Systems; Cellular Immunology; Cellular Nervous System,Dr Leon Smyth,0000-0001-9861-3574
FT250100335,ARC Future Fellowships,2025,Active,1285126,1291693.0,Monash University,3304,Urban and Regional Planning,3304; 330408; 330409,"Urban and Regional Planning; Strategic, Metropolitan and Regional Planning; Transport Planning",A/Prof Liton Kamruzzaman,0000-0001-7113-942X
FT250100337,ARC Future Fellowships,2025,Active,1277027,1283621.0,The University of Queensland,3509,"Transportation, Logistics and Supply Chains",3509; 350902; 350908; 400512,"Transportation, Logistics and Supply Chains; Intelligent Mobility; Road Transportation and Freight Services; Transport Engineering",Prof Zuduo Zheng,0000-0002-5289-2106
FT250100341,ARC Future Fellowships,2025,Active,1131800,1137601.0,The University of Queensland,3106,Industrial Biotechnology,3106; 310606; 310607,Industrial Biotechnology; Industrial Molecular Engineering of Nucleic Acids and Proteins; Nanobiotechnology,A/Prof Seth Cheetham,0000-0001-6428-3175
FT250100360,ARC Future Fellowships,2025,Active,1234510,1240964.0,Queensland University of Technology,3302,Building,3302; 330202,Building; Building Construction Management and Project Planning,Prof Bo Xia,0000-0001-7694-4743
FT250100365,ARC Future Fellowships,2025,Active,1130932,1136726.0,Monash University,3214,Pharmacology and Pharmaceutical Sciences,310110; 310910; 3214; 321401,Receptors and Membrane Biology; Animal Physiology - Systems; Pharmacology and Pharmaceutical Sciences; Basic Pharmacology,Dr Chengxue Qin,0000-0003-2169-2686
FT250100371,ARC Future Fellowships,2025,Active,1286884,1293479.0,RMIT University,4104,Environmental Management,350201; 4104; 410404; 410405,Environment and Climate Finance; Environmental Management; Environmental Management; Environmental Rehabilitation and Restoration,Prof Peter Macreadie,0000-0001-7362-0882
FT250100383,ARC Future Fellowships,2025,Active,1272875,1279326.0,The University of Adelaide,4401,Anthropology,360102; 4401; 440107; 450116,Art History; Anthropology; Social and Cultural Anthropology; Aboriginal and Torres Strait Islander Visual Arts and Crafts,Prof John Carty,
FT250100401,ARC Future Fellowships,2025,Active,1282038,1288549.0,University of Wollongong,4406,Human Geography,330405; 4406; 440609,Public Participation and Community Engagement; Human Geography; Rural and Regional Geography,A/Prof Sonia Graham,0000-0003-4195-4559
FT250100412,ARC Future Fellowships,2025,Active,974124,979117.0,The University of Adelaide,3799,Other Earth Sciences,370303; 370504; 3799; 379901,Isotope Geochemistry; Marine Geoscience; Other Earth Sciences; Earth System Sciences,Dr Stefan Loehr,0000-0002-1242-552X
FT250100413,ARC Future Fellowships,2025,Active,1111565,1117237.0,La Trobe University,4410,Sociology,4410; 441012,Sociology; Sociology of Inequalities,Dr Amy Pennay,0000-0002-6271-8996
FT250100415,ARC Future Fellowships,2025,Active,1131187,1136987.0,The University of Melbourne,3107,Microbiology,310407; 3107; 310703; 310706,Host-Parasite Interactions; Microbiology; Microbial Ecology; Virology,Dr Michelle Wille,0000-0002-5629-0196
FT250100438,ARC Future Fellowships,2025,Active,1219808,1225958.0,The University of Melbourne,4801,Commercial Law,4801; 480103; 480105; 480302,Commercial Law; Corporations and Associations Law; Not-For-Profit Law; Comparative Law,Prof Rosemary Langford,0000-0001-5304-3416
FT250100446,ARC Future Fellowships,2025,Active,1279427,1285947.0,Macquarie University,4408,Political Science,4408; 440803; 440808,Political Science; Comparative Government and Politics; International Relations,A/Prof Charles Butcher,0000-0003-2652-1229
FT250100448,ARC Future Fellowships,2025,Active,1276884,1283377.0,Murdoch University,4603,Computer Vision and Multimedia Computation,4603; 460304; 461103,Computer Vision and Multimedia Computation; Computer Vision; Deep Learning,Prof Hamid Laga,0000-0002-4758-7510
FT250100453,ARC Future Fellowships,2025,Active,1131799,1137600.0,The University of Sydney,4410,Sociology,4410; 441011,Sociology; Sociology of Health,Dr Barbara Barbosa Neves,0000-0002-4490-4322
FT250100459,ARC Future Fellowships,2025,Active,1051000,1056351.0,The University of Melbourne,4608,Human-Centred Computing,460202; 460205; 4608; 460810,Autonomous Agents and Multiagent Systems; Intelligent Robotics; Human-Centred Computing; Social Robotics,A/Prof Wafa Johal,0000-0001-9118-0454
FT250100460,ARC Future Fellowships,2025,Active,975427,980415.0,Monash University,3101,Biochemistry and Cell Biology,3101; 310110; 310112; 320404,Biochemistry and Cell Biology; Receptors and Membrane Biology; Structural Biology (Incl. MacRomolecular Modelling); Cellular Immunology,Dr Benjamin Gully,0000-0002-8197-0871
FT250100495,ARC Future Fellowships,2025,Active,1286884,1293479.0,Griffith University,4402,Criminology,420604; 4402; 440205; 440211,"Injury Prevention; Criminology; Criminological Theories; Police Administration, Procedures and Practice",A/Prof Lyndel Bates,0000-0001-9898-2003
FT250100503,ARC Future Fellowships,2025,Active,1258732,1265147.0,Macquarie University,5003,Philosophy,5003; 500305; 500311,Philosophy; Epistemology; Philosophical Psychology (Incl. Moral Psychology and Philosophy of Action),Prof Mark Alfano,0000-0001-5879-8033
FT250100508,ARC Future Fellowships,2025,Active,969312,974253.0,The University of Melbourne,3204,Immunology,3204; 320404,Immunology; Cellular Immunology,Dr Pirooz Zareie,0000-0001-6000-2305
FT250100520,ARC Future Fellowships,2025,Active,1285398,1291971.0,Western Sydney University,4104,Environmental Management,310308; 410102; 4104; 410401,Terrestrial Ecology; Ecological Impacts of Climate Change and Ecological Adaptation; Environmental Management; Conservation and Biodiversity,Prof Rachael Gallagher,0000-0002-4680-8115
FT250100521,ARC Future Fellowships,2025,Active,1131448,1137247.0,University of South Australia,4005,Civil Engineering,4005; 400510,Civil Engineering; Structural Engineering,Dr Jun-Jie Zeng,0000-0003-0893-6623
FT250100529,ARC Future Fellowships,2025,Active,970859,975855.0,Deakin University,4206,Public Health,4206; 420603; 420699; 440712,Public Health; Health Promotion; Public Health Not Elsewhere Classified; Social Policy,Dr Hannah Pitt,0000-0002-4259-6186
FT250100533,ARC Future Fellowships,2025,Active,1131556,1137356.0,La Trobe University,3204,Immunology,3204; 320404; 320407,Immunology; Cellular Immunology; Innate Immunity,Dr Lisa Mielke,0000-0002-9522-9320
FT250100563,ARC Future Fellowships,2025,Active,1285285,1291869.0,Monash University,5202,Biological Psychology,5202; 520203,Biological Psychology; Cognitive Neuroscience,Prof Adeel Razi,0000-0002-0779-9439
FT250100565,ARC Future Fellowships,2025,Active,975401,980406.0,Monash University,4018,Nanotechnology,4018; 401805; 401809; 510204,"Nanotechnology; Nanofabrication, Growth and Self Assembly; Nanophotonics; Photonics, Optoelectronics and Optical Communications",Dr Haoran Ren,0000-0002-2885-875X
FT250100569,ARC Future Fellowships,2025,Active,970253,975242.0,The University of Queensland,4701,Communication and Media Studies,4701; 470102; 470207,Communication and Media Studies; Communication Technology and Digital Media Studies; Cultural Theory,Dr Luke Munn,0000-0002-1018-7433
FT250100584,ARC Future Fellowships,2025,Active,1243232,1249565.0,The University of New South Wales,3509,"Transportation, Logistics and Supply Chains",3509; 350908,"Transportation, Logistics and Supply Chains; Road Transportation and Freight Services",A/Prof Meead Saberi,0000-0002-6526-239X
FT250100595,ARC Future Fellowships,2025,Active,1131404,1137204.0,The University of Melbourne,4019,Resources Engineering and Extractive Metallurgy,400502; 4019; 401902,Civil Geotechnical Engineering; Resources Engineering and Extractive Metallurgy; Geomechanics and Resources Geotechnical Engineering,Dr Samintha Perera,0000-0002-6784-0544
FT250100606,ARC Future Fellowships,2025,Active,1207000,1212925.0,The University of Adelaide,4006,Communications Engineering,4006; 400601,Communications Engineering; Antennas and Propagation,Prof Withawat Withayachumnankul,0000-0003-1155-567X
FT250100607,ARC Future Fellowships,2025,Active,973944,978942.0,The University of Queensland,4016,Materials Engineering,4016; 401605; 401805,"Materials Engineering; Functional Materials; Nanofabrication, Growth and Self Assembly",Dr Miaoqiang Lyu,0000-0003-0212-4325
FT250100610,ARC Future Fellowships,2025,Active,1286677,1293271.0,The University of Queensland,4008,Electrical Engineering,4008; 400803; 400805,"Electrical Engineering; Electrical Energy Generation (Incl. Renewables, Excl. Photovoltaics); Electrical Energy Transmission, Networks and Systems",A/Prof Ruifeng Yan,0000-0002-5779-9090
FT250100612,ARC Future Fellowships,2025,Active,1286884,1293479.0,The University of New South Wales,4701,Communication and Media Studies,4701; 470103; 470209,Communication and Media Studies; Environmental Communication; Environment and Culture,Prof Tema Milstein,0000-0002-4954-7045
FT250100621,ARC Future Fellowships,2025,Active,1126122,1131921.0,The University of Queensland,3101,Biochemistry and Cell Biology,3101; 310105; 310503,"Biochemistry and Cell Biology; Cellular Interactions (Incl. Adhesion, Matrix, Cell Wall); Developmental Genetics (Incl. Sex Determination)",Dr Anne Karine Lagendijk,0000-0003-1246-1608
FT250100646,ARC Future Fellowships,2025,Active,953619,958614.0,The University of Queensland,3404,Medicinal and Biomolecular Chemistry,310913; 3404; 340401; 340407,Invertebrate Biology; Medicinal and Biomolecular Chemistry; Biologically Active Molecules; Proteins and Peptides,Dr Andrew Walker,0000-0003-1296-6593
FT250100652,ARC Future Fellowships,2025,Active,1131588,1137388.0,The University of New South Wales,4604,Cybersecurity and Privacy,4604; 460406,Cybersecurity and Privacy; Software and Application Security,Dr Siqi Ma,
FT250100662,ARC Future Fellowships,2025,Active,940000,944818.0,The University of Newcastle,5101,Astronomical Sciences,5101; 510109,Astronomical Sciences; Stellar Astronomy and Planetary Systems,Dr Thomas Evans-Soma,0000-0001-5442-1300
FT250100670,ARC Future Fellowships,2025,Active,1286884,1293479.0,The University of Western Australia,5205,Social and Personality Psychology,520108; 520403; 5205; 520503,"Testing, Assessment and Psychometrics; Learning, Motivation and Emotion; Social and Personality Psychology; Personality and Individual Differences",A/Prof Kristin Gainey,0000-0002-2245-6880
FT250100684,ARC Future Fellowships,2025,Active,1063528,1069021.0,The University of Queensland,4603,Computer Vision and Multimedia Computation,400304; 4603; 460304; 460306,Biomedical Imaging; Computer Vision and Multimedia Computation; Computer Vision; Image Processing,Dr Shekhar Chandra,0000-0001-6544-900X
FT250100699,ARC Future Fellowships,2025,Active,1129536,1135326.0,Griffith University,4016,Materials Engineering,4016; 401605; 401805,"Materials Engineering; Functional Materials; Nanofabrication, Growth and Self Assembly",Dr Munkhbayar Batmunkh,0000-0002-7493-4186
FT250100734,ARC Future Fellowships,2025,Active,792390,796299.0,Curtin University,3407,Theoretical and Computational Chemistry,340202; 3407; 340701; 340704,Crystallography; Theoretical and Computational Chemistry; Computational Chemistry; Theoretical Quantum Chemistry,Dr Peter Spackman,0000-0002-6532-8571
FT250100737,ARC Future Fellowships,2025,Active,1273179,1279629.0,James Cook University,4505,"Aboriginal and Torres Strait Islander Peoples, Society and Community",410103; 4505; 450519,"Human Impacts of Climate Change and Human Adaptation; Aboriginal and Torres Strait Islander Peoples, Society and Community; Aboriginal and Torres Strait Islander Perspectives",A/Prof Felecia Watkin Lui,0000-0002-8402-3650
FT250100748,ARC Future Fellowships,2025,Active,795000,799100.0,Monash University,5101,Astronomical Sciences,401204; 401211; 5101; 510107,"Computational Methods In Fluid Flow, Heat and Mass Transfer (Incl. Computational Fluid Dynamics); Multiphysics Flows (Incl. Multiphase and Reacting Flows); Astronomical Sciences; Planetary Science (Excl. Solar System and Planetary Geology)",Asst Prof Rebecca Nealon,0000-0003-0856-679X
FT250100757,ARC Future Fellowships,2025,Active,1264129,1270696.0,Charles Sturt University,3901,Curriculum and Pedagogy,3901; 390109,Curriculum and Pedagogy; Mathematics and Numeracy Curriculum and Pedagogy,Prof Amy MacDonald,0000-0001-5983-4980
FT250100772,ARC Future Fellowships,2025,Active,1002210,1007680.0,The University of Queensland,4401,Anthropology,4401; 440106; 451305,Anthropology; Medical Anthropology; Pacific Peoples Culture,Dr Jenny Munro,0000-0003-4869-6986
FT250100777,ARC Future Fellowships,2025,Active,1253522,1259855.0,Western Sydney University,4705,Literary Studies,450109; 4705; 470502; 470526,"Aboriginal and Torres Strait Islander Literature, Journalism and Professional Writing; Literary Studies; Australian Literature (Excl. Aboriginal and Torres Strait Islander Literature); Other Literatures In English",A/Prof Ben Etherington,0000-0001-9588-0175
FT250100812,ARC Future Fellowships,2025,Active,1284184,1290779.0,Curtin University,3105,Genetics,3105; 310509; 310510; 410401,Genetics; Genomics; Molecular Evolution; Conservation and Biodiversity,Prof Morten Allentoft,0000-0003-4424-3568
FT250100813,ARC Future Fellowships,2025,Active,1131800,1137601.0,The University of Sydney,4608,Human-Centred Computing,4608; 460801; 460806; 460809,Human-Centred Computing; Accessible Computing; Human-Computer Interaction; Pervasive Computing,A/Prof Anusha Withanage Don,0000-0001-6587-1278
FT250100816,ARC Future Fellowships,2025,Active,976696,981702.0,Monash University,3109,Zoology,3109; 310907; 310912,Zoology; Animal Physiological Ecology; Comparative Physiology,Dr Lesley Alton,0000-0002-4236-2494
FT250100821,ARC Future Fellowships,2025,Active,1105646,1111443.0,University of Wollongong,3402,Inorganic Chemistry,3402; 340209; 340503; 340601,Inorganic Chemistry; Organometallic Chemistry; Organic Chemical Synthesis; Catalysis and Mechanisms of Reactions,Dr Sinead Keaveney,0000-0002-7613-7383
FT250100831,ARC Future Fellowships,2025,Active,1276288,1282711.0,The University of Melbourne,4004,Chemical Engineering,4004; 400401; 400403; 400409,Chemical Engineering; Carbon Capture Engineering (Excl. Sequestration); Chemical Engineering Design; Separation Technologies,A/Prof Gang Li,0000-0003-1700-297X
FT250100834,ARC Future Fellowships,2025,Active,1093436,1099179.0,The Australian National University,4904,Pure Mathematics,4904; 490402; 490410,Pure Mathematics; Algebraic and Differential Geometry; Partial Differential Equations,Dr Mat Langford,
FT250100844,ARC Future Fellowships,2025,Active,1091272,1097030.0,The University of New South Wales,4605,Data Management and Data Science,4605; 460505,Data Management and Data Science; Database Systems,Dr Xin Cao,
FT250100852,ARC Future Fellowships,2025,Active,975544,980544.0,The University of Sydney,4016,Materials Engineering,400404; 4016; 401605,Electrochemical Energy Storage and Conversion; Materials Engineering; Functional Materials,Dr Zengxia Pei,
FT250100853,ARC Future Fellowships,2025,Active,1286884,1293479.0,Macquarie University,4016,Materials Engineering,400404; 4016; 401605; 401807,Electrochemical Energy Storage and Conversion; Materials Engineering; Functional Materials; Nanomaterials,Prof Yijiao Jiang,0000-0002-6191-9825
FT250100854,ARC Future Fellowships,2025,Active,1131488,1137288.0,The University of Western Australia,4513,"Pacific Peoples Culture, Language and History",430101; 450101; 4513; 451301,"Archaeological Science; Aboriginal and Torres Strait Islander Archaeology; Pacific Peoples Culture, Language and History; Archaeology of New Guinea and Pacific Islands (Excl. New Zealand)",Dr Emilie Dotte-Sarout,0000-0003-1413-9655
FT250100855,ARC Future Fellowships,2025,Active,976144,981148.0,The University of Sydney,4017,Mechanical Engineering,4017; 401706,Mechanical Engineering; Numerical Modelling and Mechanical Characterisation,Dr Junning Chen,0000-0001-7121-0994
FT250100875,ARC Future Fellowships,2025,Active,1130708,1136492.0,The University of New South Wales,3403,Macromolecular and Materials Chemistry,3403; 340302; 340303,Macromolecular and Materials Chemistry; Macromolecular Materials; Nanochemistry,Dr Peter Wich,0000-0003-1522-0340
FT250100879,ARC Future Fellowships,2025,Active,1286791,1293386.0,The University of Adelaide,3101,Biochemistry and Cell Biology,3101; 310111; 310114; 490102,Biochemistry and Cell Biology; Signal Transduction; Systems Biology; Biological Mathematics,A/Prof Lan Nguyen,0000-0003-4040-7705
FT250100880,ARC Future Fellowships,2025,Active,1047398,1052846.0,University of Wollongong,4904,Pure Mathematics,4904; 490410,Pure Mathematics; Partial Differential Equations,Dr Glen Wheeler,0000-0003-3314-5647
FT250100881,ARC Future Fellowships,2025,Active,1280213,1286805.0,Monash University,3709,Physical Geography and Environmental Geoscience,370502; 3709; 370901; 370905,Geochronology; Physical Geography and Environmental Geoscience; Geomorphology and Earth Surface Processes; Quaternary Environments,A/Prof Kathryn Fitzsimmons,0000-0002-9337-0793
FT250100922,ARC Future Fellowships,2025,Active,1275884,1282254.0,The Australian National University,3405,Organic Chemistry,3405; 340502; 340503; 340601,Organic Chemistry; Natural Products and Bioactive Compounds; Organic Chemical Synthesis; Catalysis and Mechanisms of Reactions,Prof Andrew Lawrence,0000-0002-9573-5637
FT250100951,ARC Future Fellowships,2025,Active,1286732,1293327.0,The Australian National University,4904,Pure Mathematics,461305; 490399; 4904; 490412,Data Structures and Algorithms; Numerical and Computational Mathematics Not Elsewhere Classified; Pure Mathematics; Topology,A/Prof Katharine Turner,0000-0002-6679-7441
FL250100004,Australian Laureate Fellowships,2025,Active,3907133,3922782.0,Monash University,4605,Data Management and Data Science,4605; 460502,Data Management and Data Science; Data Mining and Knowledge Discovery,Prof Geoffrey Webb,
